key1,value1,key2,label,rank,rank_point,rank_line,rank_polygon
shop,anime,, Animé/Manga/Bd,0.3,,,
shop,camera,, Matériel photographique,0.3,,,
shop,candles,, Bougies,0.3,,,
shop,curtain,, Rideaux,0.3,,,
shop,doors,, Portes,0.3,,,
shop,estate_agent,, Agent immobilier,0.3,,,
shop,floorint,, Revêtements de sol,0.3,,,
shop,kiosk,, Kiosque,0.3,,,
shop,lighting,, Luminaires,0.3,,,
shop,model,, Modélisme,0.3,,,
shop,radiotechnics,, Composants électroniques,0.3,,,
shop,scuba_diving,, Matériel de plongée,0.3,,,
shop,ski,, Ski,0.3,,,
shop,spices,, Épices,0.3,,,
shop,tiles,, Carrelage,0.3,,,
shop,window_blind,, Stores et volets,0.3,,,
tourism,apartment,, Appartement,0.3,,,
tourism,bed_and_breakfast,, Gîte,0.3,,,
tourism,cabin,, Hutte,0.3,,,
tourism,chalet,, Chalet,0.3,,,
tourism,guest_house,, Maison d'hôte,0.3,,,
tunnel,yes,, Tunnel,0.3,,,
waterway,artificial,name, Cours d'eau artificiel,0.3,,,
waterway,canal,, Canal,0.3,,,
waterway,derelict_canal,name, Canal de décharge,0.3,,,
waterway,rapids,, Rapides,0.3,,,
waterway,stream,name, Ruisseau,0.3,,,
waterway,wadi,name, Oued,0.3,,,
aerialway,chair_lift,, Télésiège,0.2,,,
aeroway,runway,, Piste,0.2,,,
amenity,bbq,, Barbecue,0.2,,,
amenity,bicycle_parking,, Parking à vélos,0.2,,,
amenity,brothel,, Bordel,0.2,,,
amenity,bus_station,, Arrêt de bus,0.2,,,
amenity,clock,, Horloge,0.2,,,
amenity,drinking_water,, Eau potable,0.2,,,
amenity,emergency_phone,, Borne d'appel d'urgence,0.2,,,
amenity,fountain,, Fontaine,0.2,,,
amenity,grave_yard,, Cimetière,0.2,,,
amenity,hunting_stand,, Stand de tir,0.2,,,
amenity,motorcycle_parking,, Parking à motos,0.2,,,
amenity,reception_area,, Zone de livraison,0.2,,,
amenity,shelter,, Abri,0.2,,,
amenity,shower,, Douche,0.2,,,
emergency,defibrillator,, Défibrillateur,0.2,,,
highway,bus_stop,, Arrêt de bus,0.2,,,
highway,elevator,, Ascenseur,0.2,,,
highway,emergency_access_point,, Point d'accès d'urgence,0.2,,,
landuse,garages,, Garages,0.2,,,
landuse,railway,, Voie ferrée,0.2,,,
man_made,pipeline,, Pipeline,0.2,,,
railway,level_crossing,, Passage à niveau,0.2,,,
railway,spur,name, Embranchement ferroviaire,0.2,,,
tourism,picnic_site,, Aire de pique-nique,0.2,,,
aerialway,drag_lift,, Téléski,0.1,,,
aeroway,apron,, Aire de stationnement,0.1,,,
aeroway,taxiway,, Voie de circulation (Taxiway),0.1,,,
amenity,atm,, Distributeur automatique de billets,0.1,,,
amenity,fire_hydrant,, Bouche d'incendie,0.1,,,
amenity,parking_entrance,, Entrée d'un parking,0.1,,,
amenity,post_box,, Boîte aux lettres,0.1,,,
amenity,telephone,, Téléphone,0.1,,,
amenity,toilets,, Toilettes,0.1,,,
amenity,vending_machine,, Distributeur automatique,0.1,,,
amenity,waste_basket,, Poubelle,0.1,,,
emergency,phone,, Borne d'appel d'urgence,0.1,,,
historic,boundary_stone,, Borne frontière,0.1,,,
